[type][beskrivelse][move eller beløb][doubleRent]
MoveToField,"Ryk frem til "START".",1,
MoveToField,"Ryk frem til "START".",1
MoveToPrison,"Gå i fængsel. Ryk direkte til fængslet. Selv om De passerer "START" indkasserer de ikke kr. 4.000.",11
MoveToPrison,"Gå i fængsel. Ryk direkte til fængslet. Selv om De passerer "START" indkasserer de ikke kr. 4.000.",11
MoveToField,"Ryk frem til Grønningen. Hvis De passerer "START" indkassér da kr. 4.000.",25
MoveToField,"Tag ind på Rådhuspladsen.",40
MoveToField,"Ryk frem til Strandvejen. Hvis De passerer "START" indkassér da kr. 4.000.",20
MoveToField,"Ryk frem til Vimmelskaftet. Hvis De passerer "START" indkassér da kr. 4.000.",33
MoveToField,"Ryk frem til Frederiksberg Allé. Hvis De passerer "START" indkassér da kr. 4.000.",12
MoveToField,"Tag med Mols-Linien. Flyt brikken frem og hvis De passerer "START" indkassér da kr. 4.000.",16
MoveToNearestShipping,"Ryk brikken frem til det  nærmeste rederi og betal ejeren to gange den leje han ellers er berettiget til. Hvis selskabet ikke ejes af nogen kan De købe det af banken.",6,16,26,36,true
MoveToNearestShipping,"Ryk brikken frem til det  nærmeste rederi og betal ejeren to gange den leje han ellers er berettiget til. Hvis selskabet ikke ejes af nogen kan De købe det af banken.",6,16,26,36,true
MoveToNearestShipping,"Tag med den nærmeste færge. Flyt brikken frem og hvis De passerer "START" indkassér da kr. 4.000.",0,6,16,26,36,false,
MoveThreeSteps,"Ryk tre felter tilbage.",-3
MoveThreeSteps,"Ryk tre felter tilbage.",-3
MoveThreeSteps,"Ryk tre felter frem.",3
Payment,"Betal kr. 200 for levering af 2 kasser øl.",-200
Payment,"Kommunen har eftergivet et kvartals skat. Hæv i banken kr. 3.000.",3000
Payment,"Betal kr. 3.000 for reparation af Deres vogn.",-3000
Payment,"Modtag udbytte af Deres aktier - kr. 1.000.",1000
Payment,"De har købt 4 nye dæk til deres vogn. Betal kr. 1.000.",-1000
Payment,"Værdien af egen avl fra nyttehaven udgør kr. 200 som De modtager af banken.",200
Payment,"De modtager Deres aktieudbytte. Modtag kr. 1.000 af banken.",1000
Payment,"Grundet dyrtiden har De fået gageforhøjelse. Modtag kr. 1.000.",1000
Payment,"Betal Deres bilforsikring - kr. 1.000.",-1000
Payment,"De har været en tur i udlandet og haft for mange cigaretter med hjem. Betal told kr. 200.",-200
Payment,"De har fået en parkeringsbøde. Betal kr. 200 i bøde.",-200
Payment,"De har solgt nogle gamle møbler på auktion. Modtag kr. 1.000 af banken.",1000
Payment,"De har kørt frem for Fuldt stop. Betal kr. 1.000 i bøde.",-1000
Payment,"Deres præmieobligationer er udtrukket. De modtager kr. 1.000 af banken.",1000
Payment,"Betal kr. 3.000 for reparation af Deres vogn.",-3000
Payment,"De havde en række med elleve rigtige i tipning. Modtag kr. 1.000.",1000
Payment,"Modtag udbytte af Deres aktier - kr. 1.000.",1000
Payment,"Deres præmieobligationer er udtrukket. De modtager kr. 1.000 af banken.",1000
Payment,"De har vundet i Klasselotteriet. Modtag kr. 500.",500
Payment,"Betal for vognvask og smøring kr. 300.",-300
Payment,"De har fået en parkeringsbøde. Betal kr. 200 i bøde.",-200
Grant,"De modtager "Matador-legatet for værdigt trængende" på kr. 40.000. For at modtage legatet må deres samlede formue dvs. deres kontante penge + skøder + bygning ikke overstige kr. 15.000.",false
Tax,"Oliepriserne er steget og De skal betale: Kr. 500 pr. hus og kr. 2.000 pr. hotel.",500,2000
Tax,"Ejendomsskatterne er steget. Ekstraudgifterne er: Kr. 800 pr. hus og kr. 2.300 pr. hotel.",800,2300
Party,"De skal holde familiefest og får et tilskud af hver medspiller på kr. 500.",500
Party,"De har lagt penge ud til et sammenskudsgilde. Mærkværdigvis betaler alle straks. Modtag fra hver medspiller kr. 500.",500
Party,"Det er Deres fødselsdag. Modtag af hver medspiller kr. 200.",200
Prison,"I anledning af kongens fødselsdag benådes de hermed for fængsel. Dette kort kan opbevares indtil De får brug for det."
Prison,"I anledning af kongens fødselsdag benådes de hermed for fængsel. Dette kort kan opbevares indtil De får brug for det."
